step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1016184376_stopped,1016184376_accumulated_waiting_time,1016184376_average_speed,5237321225_stopped,5237321225_accumulated_waiting_time,5237321225_average_speed,GS_cluster_1016191643_1016191860_1016192269_1016198634_stopped,GS_cluster_1016191643_1016191860_1016192269_1016198634_accumulated_waiting_time,GS_cluster_1016191643_1016191860_1016192269_1016198634_average_speed,cluster_1016183180_1016185346_1016193503_1016194749_stopped,cluster_1016183180_1016185346_1016193503_1016194749_accumulated_waiting_time,cluster_1016183180_1016185346_1016193503_1016194749_average_speed,cluster_1016184252_1016191971_stopped,cluster_1016184252_1016191971_accumulated_waiting_time,cluster_1016184252_1016191971_average_speed,cluster_1016184655_1016193545_1016201012_9372174241_stopped,cluster_1016184655_1016193545_1016201012_9372174241_accumulated_waiting_time,cluster_1016184655_1016193545_1016201012_9372174241_average_speed,cluster_1016184997_1016188102_1016195714_5921483463_stopped,cluster_1016184997_1016188102_1016195714_5921483463_accumulated_waiting_time,cluster_1016184997_1016188102_1016195714_5921483463_average_speed,cluster_1016185040_1016195865_9372174234_9372174235_stopped,cluster_1016185040_1016195865_9372174234_9372174235_accumulated_waiting_time,cluster_1016185040_1016195865_9372174234_9372174235_average_speed,cluster_1016185522_1016193644_5237321232_5921362889_#1more_stopped,cluster_1016185522_1016193644_5237321232_5921362889_#1more_accumulated_waiting_time,cluster_1016185522_1016193644_5237321232_5921362889_#1more_average_speed,cluster_1016189230_1016195084_5921362584_9371895544_stopped,cluster_1016189230_1016195084_5921362584_9371895544_accumulated_waiting_time,cluster_1016189230_1016195084_5921362584_9371895544_average_speed,cluster_1016191445_1016199645_stopped,cluster_1016191445_1016199645_accumulated_waiting_time,cluster_1016191445_1016199645_average_speed,cluster_1016191702_1016195035_stopped,cluster_1016191702_1016195035_accumulated_waiting_time,cluster_1016191702_1016195035_average_speed,cluster_1016191801_1016199119_stopped,cluster_1016191801_1016199119_accumulated_waiting_time,cluster_1016191801_1016199119_average_speed,cluster_1016192514_4084049672_5921362888_stopped,cluster_1016192514_4084049672_5921362888_accumulated_waiting_time,cluster_1016192514_4084049672_5921362888_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
210.0,23,299.0,1.625,13.153549356782257,1,16.0,0.0,1,40.0,0.0,3,25.0,0.006434709832180697,6,127.0,0.058192422417997165,1,5.0,3.341389307303175e-05,0,1.0,0.6099054346717551,0,0.0,0.6561128057855747,0,0.0,1.0,1,14.0,0.0,1,17.0,0.0043269628586932625,4,22.0,1.0381618849142555e-06,0,0.0,1.0,1,19.0,0.631147028886724,2,5.0,0.3226871878214412,21,291.0
220.0,20,316.0,1.6544502617801047,13.003312581691233,1,26.0,0.0,0,0.0,1.0,0,0.0,1.0,5,91.0,9.563121076494863e-07,1,15.0,0.4919721560026793,0,0.0,1.0,0,0.0,0.864658320786829,0,0.0,1.0,1,24.0,0.44825022729110586,2,37.0,0.2795110400571476,5,67.0,0.07044452638778957,0,0.0,1.0,1,29.0,0.0,2,25.0,0.3798206937367655,18,314.0
230.0,9,94.0,0.4723618090452261,13.621003214302057,0,0.0,1.0,0,0.0,0.47528730998532875,0,0.0,1.0,1,16.0,0.4944987196291966,1,5.0,0.0,0,3.0,0.46494328989801975,0,0.0,1.0,0,0.0,1.0,1,6.0,0.15153836668739348,0,0.0,1.0,5,92.0,0.1593908829419317,0,0.0,0.6521523118608077,0,0.0,1.0,0,5.0,0.26984680830140195,8,127.0
240.0,20,220.0,1.0628019323671498,12.425127160073668,0,0.0,1.0,1,9.0,0.30427506024914697,2,3.0,0.0007737647593057388,1,27.0,0.3975188243487124,2,41.0,0.22739071278158232,2,14.0,0.32931440450760946,0,0.0,0.7222534053735089,0,0.0,1.0,2,29.0,0.08596384494782469,0,2.0,0.267917258517594,6,147.0,1.829515119290902e-05,1,24.0,0.38089427790687497,1,5.0,4.913898847201476e-05,1,9.0,0.00018870988847235473,19,310.0
250.0,40,509.0,2.4354066985645932,11.066563084231074,0,0.0,1.0,3,22.0,0.1784223836326452,0,0.0,1.0,4,54.0,0.17808712643883295,6,66.0,0.00027749624726795916,2,34.0,0.0,1,4.0,2.3498985826503297e-05,0,0.0,1.0,5,75.0,0.0,2,18.0,6.004199875811338e-06,6,207.0,0.06766977035442394,6,67.0,0.11070522726967276,1,15.0,0.0,1,19.0,0.06863210657774267,37,581.0
260.0,44,873.0,4.041666666666667,10.967826491315968,0,0.0,1.0,4,58.0,0.29925870676829774,0,0.0,1.0,4,59.0,0.19784179297346927,6,126.0,0.0,2,54.0,0.0,0,0.0,0.3392797024181649,0,0.0,1.0,5,125.0,0.0,2,38.0,0.0,7,273.0,0.0,8,141.0,0.0823266237036411,1,25.0,0.0,2,38.0,0.2123347871197423,41,937.0
270.0,54,1335.0,5.959821428571429,10.687539796000266,0,0.0,1.0,6,106.0,0.0639000872776249,0,0.0,1.0,7,110.0,5.795694394994875e-05,6,186.0,0.0,2,74.0,0.0,1,7.0,0.0,0,0.0,1.0,5,175.0,0.0,2,58.0,0.21838700673162412,7,343.0,0.0,11,235.0,0.0001740047646513648,2,41.0,0.32613143026592917,2,58.0,0.0,51,1393.0
280.0,10,121.0,0.5307017543859649,14.019090039173557,0,0.0,1.0,2,31.0,0.06476710397892153,0,0.0,1.0,2,23.0,0.16295326727336623,0,0.0,1.0,0,0.0,0.6688009880859243,0,1.0,0.8051805437361518,0,0.0,1.0,0,0.0,0.8604570096537333,2,16.0,0.3746231926732695,1,45.0,0.5981894453385023,0,27.0,0.2954393284340409,1,5.0,2.0471216459002795e-05,0,1.0,0.5781324482443929,8,149.0
290.0,12,161.0,0.6822033898305084,13.965026396075784,0,0.0,1.0,1,17.0,0.1857833836779748,0,0.0,1.0,2,43.0,0.21237835583214562,0,0.0,1.0,0,0.0,0.6310352310937127,0,8.0,0.36285820859463663,0,2.0,0.829743644488641,0,0.0,0.9538339353783487,2,36.0,0.0,3,68.0,0.4564786673679234,0,0.0,0.9371945401432524,1,15.0,0.0,0,0.0,1.0,9,189.0
300.0,27,239.0,0.987603305785124,13.129173458871241,0,0.0,1.0,2,14.0,0.19606961227099667,0,0.0,1.0,3,69.0,0.0,1,1.0,0.251406120448555,0,6.0,0.45223517543948794,4,19.0,0.17196838596893005,0,0.0,1.0,0,0.0,1.0,2,56.0,0.3291780580729213,7,38.0,0.00492588662479831,0,0.0,0.9645692591816591,1,25.0,0.0,0,0.0,0.7802043551715759,20,228.0
