Episode,Agent_ID,Reward,Waiting_Time
9,cluster_1016191801_1016199119,-250596.0,250596.0
9,cluster_1016192514_4084049672_5921362888,-47064.0,47064.0
10,1016184376,-417037.0,417037.0
10,1016200794,-28350.0,28350.0
10,5237321225,-1231673.0,1231673.0
10,9376141054,-23633.0,23633.0
10,GS_cluster_1016191643_1016191860_1016192269_1016198634,-11623.0,11623.0
10,cluster_1016183180_1016185346_1016193503_1016194749,-211275.0,211275.0
10,cluster_1016184252_1016191971,-635217.0,635217.0
10,cluster_1016184655_1016193545_1016201012_9372174241,-48942.0,48942.0
10,cluster_1016184997_1016188102_1016195714_5921483463,-68517.0,68517.0
10,cluster_1016185040_1016195865_9372174234_9372174235,-224497.0,224497.0
10,cluster_1016185522_1016193644_5237321232_5921362889_#1more,-34319.0,34319.0
10,cluster_1016189230_1016195084_5921362584_9371895544,-30912.0,30912.0
10,cluster_1016191702_1016195035,-46293.0,46293.0
10,cluster_1016191801_1016199119,-481252.0,481252.0
10,cluster_1016192514_4084049672_5921362888,-36096.0,36096.0
11,1016184376,-277395.0,277395.0
11,1016200794,-539875.0,539875.0
11,5237321225,-1219524.0,1219524.0
11,9376141054,-17261.0,17261.0
11,GS_cluster_1016191643_1016191860_1016192269_1016198634,-16207.0,16207.0
11,cluster_1016183180_1016185346_1016193503_1016194749,-207625.0,207625.0
11,cluster_1016184252_1016191971,-639924.0,639924.0
11,cluster_1016184655_1016193545_1016201012_9372174241,-44283.0,44283.0
11,cluster_1016184997_1016188102_1016195714_5921483463,-57881.0,57881.0
11,cluster_1016185040_1016195865_9372174234_9372174235,-237214.0,237214.0
11,cluster_1016185522_1016193644_5237321232_5921362889_#1more,-23820.0,23820.0
11,cluster_1016189230_1016195084_5921362584_9371895544,-33792.0,33792.0
11,cluster_1016191702_1016195035,-52658.0,52658.0
11,cluster_1016191801_1016199119,-272817.0,272817.0
11,cluster_1016192514_4084049672_5921362888,-66141.0,66141.0
12,1016184376,-378361.0,378361.0
12,1016200794,-301556.0,301556.0
12,5237321225,-1065323.0,1065323.0
12,9376141054,-22038.0,22038.0
12,GS_cluster_1016191643_1016191860_1016192269_1016198634,-26210.0,26210.0
12,cluster_1016183180_1016185346_1016193503_1016194749,-183724.0,183724.0
12,cluster_1016184252_1016191971,-598655.0,598655.0
12,cluster_1016184655_1016193545_1016201012_9372174241,-38968.0,38968.0
12,cluster_1016184997_1016188102_1016195714_5921483463,-39191.0,39191.0
12,cluster_1016185040_1016195865_9372174234_9372174235,-230955.0,230955.0
12,cluster_1016185522_1016193644_5237321232_5921362889_#1more,-35927.0,35927.0
12,cluster_1016189230_1016195084_5921362584_9371895544,-28736.0,28736.0
12,cluster_1016191702_1016195035,-64649.0,64649.0
12,cluster_1016191801_1016199119,-284965.0,284965.0
12,cluster_1016192514_4084049672_5921362888,-84966.0,84966.0
13,1016184376,-352041.0,352041.0
13,1016200794,-1024268.0,1024268.0
13,5237321225,-1023354.0,1023354.0
13,9376141054,-1309278.0,1309278.0
13,GS_cluster_1016191643_1016191860_1016192269_1016198634,-26247.0,26247.0
13,cluster_1016183180_1016185346_1016193503_1016194749,-214179.0,214179.0
13,cluster_1016184252_1016191971,-725544.0,725544.0
13,cluster_1016184655_1016193545_1016201012_9372174241,-36918.0,36918.0
13,cluster_1016184997_1016188102_1016195714_5921483463,-38492.0,38492.0
13,cluster_1016185040_1016195865_9372174234_9372174235,-247212.0,247212.0
13,cluster_1016185522_1016193644_5237321232_5921362889_#1more,-28770.0,28770.0
13,cluster_1016189230_1016195084_5921362584_9371895544,-31516.0,31516.0
13,cluster_1016191702_1016195035,-83970.0,83970.0
13,cluster_1016191801_1016199119,-343604.0,343604.0
13,cluster_1016192514_4084049672_5921362888,-28861.0,28861.0
