Agent,State,A0,A1
cluster_1016183180_1016185346_1016193503_1016194749,00100000,-129.15252632208794,-41.70356040364316
cluster_1016183180_1016185346_1016193503_1016194749,10001000,-497.6354118315776,-163.58766359553147
cluster_1016183180_1016185346_1016193503_1016194749,11001000,-984.3090888110432,-614.8848565294572
cluster_1016183180_1016185346_1016193503_1016194749,00001100,-397.88426986103167,-216.6393897979175
cluster_1016183180_1016185346_1016193503_1016194749,00010000,-482.4940503470805,-331.4329197876084
cluster_1016183180_1016185346_1016193503_1016194749,00110000,-246.9280555836051,-112.04440298626054
cluster_1016183180_1016185346_1016193503_1016194749,00110001,-164.7753114253867,0.0
cluster_1016183180_1016185346_1016193503_1016194749,00000001,-381.1251045535053,-198.82833485581415
cluster_1016183180_1016185346_1016193503_1016194749,01001100,-22.894667277734374,-27.55
cluster_1016183180_1016185346_1016193503_1016194749,01001000,-748.2925482607486,-182.3975726728714
cluster_1016183180_1016185346_1016193503_1016194749,01000100,-36.45383484635418,0.0
cluster_1016183180_1016185346_1016193503_1016194749,00111000,-45.400000000000006,0.0
cluster_1016183180_1016185346_1016193503_1016194749,00101000,0.0,-22.3
cluster_1016183180_1016185346_1016193503_1016194749,00010001,0.0,-45.59458560586148
cluster_1016183180_1016185346_1016193503_1016194749,11000100,-53.75773867315747,-9.4
cluster_1016183180_1016185346_1016193503_1016194749,00011000,-241.70876394748504,-170.59347886169877
cluster_1016183180_1016185346_1016193503_1016194749,00010100,-35.00537248567063,0.0
cluster_1016183180_1016185346_1016193503_1016194749,10001100,-62.39447908292539,-36.75
cluster_1016183180_1016185346_1016193503_1016194749,00000101,-24.44519604924764,-29.75
cluster_1016183180_1016185346_1016193503_1016194749,00001001,-172.86836850605943,0.0
cluster_1016184252_1016191971,00000,-9953.989595347675,-9938.42527593223
cluster_1016184252_1016191971,01000,-7540.374618948575,-2878.6789349984047
cluster_1016184252_1016191971,00100,-3179.802208362909,-219.59293526222262
cluster_1016184252_1016191971,10000,-932.4379207921553,-449.3862574709471
cluster_1016184252_1016191971,11000,-1327.792334842613,-650.43125
cluster_1016184252_1016191971,01100,-129.04375000000002,0.0
cluster_1016184655_1016193545_1016201012_9372174241,000000,-416.60615961834293,-456.3493212342411
cluster_1016184655_1016193545_1016201012_9372174241,001000,-350.61585754232044,-225.20780839844568
cluster_1016184655_1016193545_1016201012_9372174241,011000,-346.76340376358246,-100.30414192871545
cluster_1016184655_1016193545_1016201012_9372174241,000100,-217.06689711320047,-84.44260832642489
cluster_1016184655_1016193545_1016201012_9372174241,000110,-363.06629671454687,-161.15655949661743
cluster_1016184655_1016193545_1016201012_9372174241,100000,-52.12820219933362,-22.056874999999998
cluster_1016184655_1016193545_1016201012_9372174241,000010,-206.7597939444429,-111.98900043613165
cluster_1016184655_1016193545_1016201012_9372174241,010000,-88.29943306187704,-61.38952801189425
cluster_1016184655_1016193545_1016201012_9372174241,011110,-75.79969141952385,-87.17860722453459
cluster_1016184655_1016193545_1016201012_9372174241,001010,-47.21417041884585,-3.4166666666666665
cluster_1016184655_1016193545_1016201012_9372174241,011010,-23.329906619645936,0.0
cluster_1016184655_1016193545_1016201012_9372174241,000210,-189.39152110611982,-205.04999999999998
cluster_1016184655_1016193545_1016201012_9372174241,000220,-789.4614204795834,-722.0841273665364
cluster_1016184655_1016193545_1016201012_9372174241,000120,-86.09956096028645,0.0
cluster_1016184655_1016193545_1016201012_9372174241,000001,-29.647118277539306,0.0
cluster_1016184655_1016193545_1016201012_9372174241,001100,-26.998253547364516,0.0
cluster_1016184655_1016193545_1016201012_9372174241,001110,-32.73262303923592,-27.64718259653414
cluster_1016184997_1016188102_1016195714_5921483463,00000,-297.45202528935664,-288.8635920741672
cluster_1016184997_1016188102_1016195714_5921483463,00001,-354.84004925785905,-240.66117099508816
cluster_1016184997_1016188102_1016195714_5921483463,00011,-235.63145484443444,-138.88845748302916
cluster_1016184997_1016188102_1016195714_5921483463,10000,-511.5185669391358,-379.32392977759946
cluster_1016184997_1016188102_1016195714_5921483463,10011,-228.6453744780513,-89.12917355227937
cluster_1016184997_1016188102_1016195714_5921483463,10010,-480.75346043512445,-175.7304336049537
cluster_1016184997_1016188102_1016195714_5921483463,01000,-43.3913009695953,-17.204652612462777
cluster_1016184997_1016188102_1016195714_5921483463,00010,-406.36134150701923,-260.5253973694309
cluster_1016184997_1016188102_1016195714_5921483463,20000,-532.6121519472764,-27.955999047696768
cluster_1016184997_1016188102_1016195714_5921483463,10001,-264.30408689539394,-124.40668585035361
cluster_1016184997_1016188102_1016195714_5921483463,00020,-635.1613997296446,-357.09136905531517
cluster_1016184997_1016188102_1016195714_5921483463,00100,-17.227406869325996,-24.457630655446067
cluster_1016184997_1016188102_1016195714_5921483463,20001,-236.580987759477,-25.372430045948636
cluster_1016184997_1016188102_1016195714_5921483463,00012,-158.59124835416063,0.0
